Word,Czech Translation
aussehen,vzhled
lachen,smát se
denken,myslet
Pantomime,pantomima
begrüßen,přivítat
beschäftigt,zaměstnaný
einleben,zvyknout si
erklären,vysvětlit
Fremde,cizinec
füttern,krmit
Gleichgesinnte,spojenec
herum,kolem
hingehen,jít k
hochmotiviert,vysoce motivovaný
komisch,komický
kontaktieren,kontaktovat
kosten,stát
Neuankömmling,nově příchozí
Neuling,nováček
Online-Gruppe,online skupina
Stammgast,stálý host
Tee,čaj
Überwindung,překonání
vorkommen,vyskytnout se
wiedererkennen,rozpoznat
bewerten,hodnotit
Mittelfeld,střední pole
modal,modální
temporal,časový
entschließen,rozhodnout se
zerschneiden,rozřezat
zusammensetzen,složit
Charakter,charakter
Eindruck,dojem
Nutzen,užitek
Vorurteil,předsudek
Banküberfall,bankovní loupež
Diebstahl,krádež
hochwertig,vysoce kvalitní
Verpackung,balení
interkulturell,mezikulturní
Rollenspiel,rolová hra
ausmachen,udělat
Einstellung,nastavení
erfragen,ptát se
erinnern,vzpomínat
ernst nehmen,brát vážně
gelaunt,dobře/špatně naladěný
indem,tím
Kompliment,kompliment
Lerngruppe,studijní skupina
Lernthema,studijní téma
Rollenkarte,rolová karta
Smalltalk,malá konverzace
Standpunkt,stanovisko
stören,rušit
überrumpeln,překvapit
ungern,nerad
ungewohnt,nezvyklý
verlaufen,ztratit se
Vorgehensweise,postup
ansprechen,oslovit
Ding,věc
beitragen,přispět
einsetzen,zapojit se
voranbringen,posunout vpřed
vorangehen,jít vpřed
vorbildlich,vzorný
Zukunftsperspektive,perspektiva budoucnosti
angehen,týkat se
auswählen,vybrat
auszeichnen,označit
basieren,založit na
Einsendung,příspěvek
Favorit,oblíbenec
Geschäftsmodell,obchodní model
Gewinner,vítěz
Gewinnerin,vítězka
Jury,porota
lebenswert,k životu vhodné
Mut,odvaha
nominieren,nominovat
Radiosender,rádiová stanice
Social-Media-Kanal,kanál sociálních médií
Webseite,webová stránka
Wettbewerb,soutěž
zeichnen,kreslit
benachteiligt,znevýhodněný
Förderwerk,fond podpory
Gewinnerprojekt,vítězný projekt
Hospital,nemocnice
Inklusionshotel,inkluzivní hotel
Arbeitssuche,hledání práce
beklagen,stěžovat si
Jugendzentrum,mládežnické centrum
Schulabschluss,školní dokončení
Seniorenheim,dům seniorů
Gemeinschaft,společenství
Negationssilbe,negativní přípona
Negationswort,negativní slovo
solch,takový
Verneinung,záporný
verstärken,posílit
Kursort,kurzové místo
erschrecken,vyděsit
Begegnung,setkání
Beutel,pytel
blinzeln,mrkat
Eierkuchen,palačinka
frech,drzý
gegenüberliegen,ležet naproti
geradeaus,přímo
gesellschaftskritisch,kritický vůči společnosti
kucken,koukat
links,vlevo
Nasenspitze,špička nosu
öffnen,otevřít
rauf,nahoru
runter,dolů
Satire,satira
stecken,vkládat
Textsorte,typ textu
tippen,psát
verzaubert,očarovaný
Wohnungstür,dveře bytu
Zauber,kouzlo
Zeigefinger,ukazováček
ein wenig,trochu
